,게시글번호,"구분(성별, 연령별)",확진자,확진률,치명률,사망자,사망률,등록일시분초,수정일시분초
69,13811,30-39,86837,14.56,0.04,31,0.61,2021-12-24 09:04:41.203,null
70,13810,40-49,87091,14.61,0.08,69,1.36,2021-12-24 09:04:41.202,null
71,13809,50-59,86947,14.58,0.29,252,4.97,2021-12-24 09:04:41.202,null
72,13808,60-69,84987,14.25,0.91,774,15.26,2021-12-24 09:04:41.202,null
73,13807,70-79,36764,6.17,3.69,1358,26.78,2021-12-24 09:04:41.202,null
74,13806,80 이상,19680,3.30,13.07,2572,50.72,2021-12-24 09:04:41.202,null
75,13805,여성,285388,47.87,0.87,2480,48.91,2021-12-24 09:04:41.201,null
76,13804,남성,310821,52.13,0.83,2591,51.09,2021-12-24 09:04:41.201,null
77,13792,0-9,43698,7.41,0.01,3,0.06,2021-12-23 08:53:58.382,null
78,13791,10-19,58284,9.88,0.00,0,0.00,2021-12-23 08:53:58.382,null
79,13790,20-29,89760,15.21,0.01,12,0.24,2021-12-23 08:53:58.382,null
80,13789,30-39,85982,14.57,0.04,31,0.62,2021-12-23 08:53:58.382,null
81,13788,40-49,86193,14.61,0.08,69,1.38,2021-12-23 08:53:58.381,null
82,13787,50-59,86148,14.60,0.29,251,5.00,2021-12-23 08:53:58.381,null
83,13786,60-69,83975,14.23,0.91,767,15.29,2021-12-23 08:53:58.381,null
84,13785,70-79,36415,6.17,3.68,1339,26.70,2021-12-23 08:53:58.381,null
85,13784,80 이상,19523,3.31,13.03,2543,50.71,2021-12-23 08:53:58.381,null
86,13783,여성,282266,47.84,0.87,2452,48.89,2021-12-23 08:53:58.38,null
87,13782,남성,307712,52.16,0.83,2563,51.11,2021-12-23 08:53:58.38,null
88,13770,0-9,42871,7.35,0.01,3,0.06,2021-12-22 09:23:04.56,null
89,13769,10-19,57530,9.87,0.00,0,0.00,2021-12-22 09:23:04.559,null
90,13768,20-29,89050,15.27,0.01,12,0.24,2021-12-22 09:23:04.559,null
91,13767,30-39,85043,14.59,0.04,31,0.63,2021-12-22 09:23:04.559,null
92,13766,40-49,85201,14.61,0.08,67,1.37,2021-12-22 09:23:04.559,null
93,13765,50-59,85223,14.62,0.29,247,5.03,2021-12-22 09:23:04.559,null
94,13764,60-69,82815,14.20,0.89,741,15.10,2021-12-22 09:23:04.558,null
95,13763,70-79,36012,6.18,3.67,1321,26.93,2021-12-22 09:23:04.558,null
96,13762,80 이상,19320,3.31,12.86,2484,50.63,2021-12-22 09:23:04.558,null
97,13761,여성,278848,47.82,0.86,2387,48.65,2021-12-22 09:23:04.558,null
98,13760,남성,304217,52.18,0.83,2519,51.35,2021-12-22 09:23:04.557,null
99,13748,0-9,41993,7.30,0.01,3,0.06,2021-12-21 09:03:44.929,null
100,13747,10-19,56726,9.85,0.00,0,0.00,2021-12-21 09:03:44.929,null
101,13746,20-29,88264,15.33,0.01,12,0.25,2021-12-21 09:03:44.929,null
102,13745,30-39,84000,14.59,0.04,31,0.64,2021-12-21 09:03:44.928,null
103,13744,40-49,84168,14.62,0.08,65,1.35,2021-12-21 09:03:44.928,null
104,13743,50-59,84218,14.63,0.29,243,5.03,2021-12-21 09:03:44.927,null
105,13742,60-69,81549,14.17,0.89,726,15.04,2021-12-21 09:03:44.927,null
106,13741,70-79,35574,6.18,3.64,1296,26.84,2021-12-21 09:03:44.926,null
107,13740,80 이상,19123,3.32,12.82,2452,50.79,2021-12-21 09:03:44.926,null
108,13739,여성,275140,47.80,0.85,2345,48.57,2021-12-21 09:03:44.925,null
109,13738,남성,300475,52.20,0.83,2483,51.43,2021-12-21 09:03:44.925,null
110,13726,0-9,41292,7.24,0.01,3,0.06,2021-12-20 09:06:18.249,null
111,13725,10-19,56160,9.85,0.00,0,0.00,2021-12-20 09:06:18.249,null
112,13724,20-29,87767,15.39,0.01,12,0.25,2021-12-20 09:06:18.249,null
113,13723,30-39,83313,14.61,0.04,31,0.65,2021-12-20 09:06:18.249,null
114,13722,40-49,83410,14.62,0.08,65,1.36,2021-12-20 09:06:18.249,null
115,13721,50-59,83501,14.64,0.29,242,5.07,2021-12-20 09:06:18.249,null
116,13720,60-69,80676,14.14,0.89,718,15.03,2021-12-20 09:06:18.248,null
117,13719,70-79,35285,6.19,3.64,1285,26.91,2021-12-20 09:06:18.248,null
118,13718,80 이상,19010,3.33,12.73,2420,50.67,2021-12-20 09:06:18.248,null
119,13717,여성,272551,47.78,0.85,2322,48.62,2021-12-20 09:06:18.248,null
120,13716,남성,297863,52.22,0.82,2454,51.38,2021-12-20 09:06:18.247,null
121,13693,0-9,40560,7.18,0.01,3,0.06,2021-12-19 09:08:16.652,null
122,13692,10-19,55614,9.84,0,0,0.00,2021-12-19 09:08:16.652,null
123,13691,20-29,87243,15.44,0.01,12,0.25,2021-12-19 09:08:16.651,null
124,13690,30-39,82619,14.62,0.04,31,0.66,2021-12-19 09:08:16.651,null
125,13689,40-49,82699,14.63,0.08,63,1.33,2021-12-19 09:08:16.651,null
126,13688,50-59,82800,14.65,0.29,241,5.10,2021-12-19 09:08:16.651,null
127,13687,60-69,79747,14.11,0.89,707,14.97,2021-12-19 09:08:16.651,null
128,13686,70-79,34955,6.19,3.64,1272,26.94,2021-12-19 09:08:16.651,null
129,13685,80 이상,18861,3.34,12.69,2393,50.68,2021-12-19 09:08:16.65,null
130,13684,여성,269921,47.77,0.85,2298,48.67,2021-12-19 09:08:16.65,null
131,13683,남성,295177,52.23,0.82,2424,51.33,2021-12-19 09:08:16.65,null
